Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
10/28/2020,02/01/2020,10/24/2020,CA,Napa County,6055,Small metro,20,919
10/28/2020,02/01/2020,10/24/2020,CA,Orange County,6059,Large central metro,1352,16622
10/28/2020,02/01/2020,10/24/2020,CA,Placer County,6061,Large fringe metro,104,2940
10/28/2020,02/01/2020,10/24/2020,CA,Riverside County,6065,Large central metro,1340,14336
10/28/2020,02/01/2020,10/24/2020,CA,Sacramento County,6067,Large central metro,455,9500
10/28/2020,02/01/2020,10/24/2020,CA,San Bernardino County,6071,Large fringe metro,1200,12774
10/28/2020,02/01/2020,10/24/2020,CA,San Diego County,6073,Large central metro,1050,17861
10/28/2020,02/01/2020,10/24/2020,CA,San Francisco County,6075,Large central metro,147,4739
10/28/2020,02/01/2020,10/24/2020,CA,San Joaquin County,6077,Medium metro,451,4521
10/28/2020,02/01/2020,10/24/2020,CA,San Luis Obispo County,6079,Medium metro,30,1705
10/28/2020,02/01/2020,10/24/2020,CA,San Mateo County,6081,Large fringe metro,172,3523
10/28/2020,02/01/2020,10/24/2020,CA,Santa Barbara County,6083,Medium metro,129,2485
10/28/2020,02/01/2020,10/24/2020,CA,Santa Clara County,6085,Large central metro,356,8503
10/28/2020,02/01/2020,10/24/2020,CA,Santa Cruz County,6087,Medium metro,28,1230
10/28/2020,02/01/2020,10/24/2020,CA,Shasta County,6089,Small metro,29,1822
10/28/2020,02/01/2020,10/24/2020,CA,Solano County,6095,Medium metro,98,2568
10/28/2020,02/01/2020,10/24/2020,CA,Sonoma County,6097,Medium metro,140,3252
10/28/2020,02/01/2020,10/24/2020,CA,Stanislaus County,6099,Medium metro,499,4278
10/28/2020,02/01/2020,10/24/2020,CA,Tulare County,6107,Medium metro,281,2522
10/28/2020,02/01/2020,10/24/2020,CA,Ventura County,6111,Medium metro,176,4411
10/28/2020,02/01/2020,10/24/2020,CA,Yolo County,6113,Large fringe metro,44,885
10/28/2020,02/01/2020,10/24/2020,CA,Yuba County,6115,Small metro,19,576
10/28/2020,02/01/2020,10/24/2020,CO,Adams County,8001,Large fringe metro,310,2932
10/28/2020,02/01/2020,10/24/2020,CO,Arapahoe County,8005,Large fringe metro,420,3644
10/28/2020,02/01/2020,10/24/2020,CO,Boulder County,8013,Medium metro,94,1822
10/28/2020,02/01/2020,10/24/2020,CO,Broomfield County,8014,Large fringe metro,27,258
10/28/2020,02/01/2020,10/24/2020,CO,Chaffee County,8015,Noncore,17,145
10/28/2020,02/01/2020,10/24/2020,CO,Denver County,8031,Large central metro,332,4198
10/28/2020,02/01/2020,10/24/2020,CO,Douglas County,8035,Large fringe metro,71,1279
10/28/2020,02/01/2020,10/24/2020,CO,El Paso County,8041,Medium metro,193,4105
10/28/2020,02/01/2020,10/24/2020,CO,Jefferson County,8059,Large fringe metro,261,3855
10/28/2020,02/01/2020,10/24/2020,CO,Larimer County,8069,Medium metro,69,2013
